"No.","Time","Source","Destination","Protocol","Length","Info"
"42","2016-09-25 23:00:08.976987","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"105","2016-09-25 23:00:22.179049","192.168.1.240","176.32.100.25","TCP","54","58290  >  443 [ACK] Seq=1 Ack=42 Win=1734 Len=0"
"106","2016-09-25 23:00:22.179194","192.168.1.240","176.32.100.25","TLSv1.2","95","Application Data"
"200","2016-09-25 23:00:26.816986","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"203","2016-09-25 23:00:27.189518","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"254","2016-09-25 23:00:36.001484","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"300","2016-09-25 23:00:45.514870","192.168.1.240","71.252.219.43","NTP","90","NTP Version 4, client"
"328","2016-09-25 23:00:50.528736","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"337","2016-09-25 23:00:52.204431","192.168.1.240","176.32.100.25","TLSv1.2","95","Application Data"
"354","2016-09-25 23:00:52.469876","192.168.1.240","176.32.100.25","TCP","54","58290  >  443 [ACK] Seq=83 Ack=83 Win=1734 Len=0"
"361","2016-09-25 23:00:53.841151","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"386","2016-09-25 23:00:57.450263","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"421","2016-09-25 23:01:03.047712","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"480","2016-09-25 23:01:16.980782","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=38917/1432, ttl=64 (reply in 481)"
"482","2016-09-25 23:01:16.989847","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=38917/1432, ttl=64 (reply in 483)"
"484","2016-09-25 23:01:16.993648","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 485)"
"486","2016-09-25 23:01:16.997593","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 487)"
"488","2016-09-25 23:01:17.001701","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 489)"
"490","2016-09-25 23:01:17.006928","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 491)"
"492","2016-09-25 23:01:17.009282","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 493)"
"494","2016-09-25 23:01:17.013163","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 495)"
"496","2016-09-25 23:01:17.016968","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 497)"
"498","2016-09-25 23:01:17.021663","192.168.1.240","192.168.1.1","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 499)"
"500","2016-09-25 23:01:17.047729","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 501)"
"502","2016-09-25 23:01:17.052228","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 503)"
"504","2016-09-25 23:01:17.057024","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 505)"
"506","2016-09-25 23:01:17.062515","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 507)"
"508","2016-09-25 23:01:17.067922","192.168.1.240","8.8.8.8","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 509)"
"510","2016-09-25 23:01:17.073616","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 511)"
"512","2016-09-25 23:01:17.079630","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 513)"
"514","2016-09-25 23:01:17.083242","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 515)"
"516","2016-09-25 23:01:17.087377","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 517)"
"518","2016-09-25 23:01:17.091226","192.168.1.240","208.67.220.220","ICMP","98","Echo (ping) request  id=0xac05, seq=55983/45018, ttl=64 (reply in 519)"
"520","2016-09-25 23:01:17.099020","192.168.1.240","8.8.8.8","DNS","75","Standard query 0xfe14 A www.example.com"
"521","2016-09-25 23:01:17.099218","192.168.1.240","8.8.8.8","DNS","75","Standard query 0x6e24 AAAA www.example.com"
"524","2016-09-25 23:01:17.112592","192.168.1.240","93.184.216.34","TCP","74","53654  >  80 [SYN] Seq=0 Win=4380 Len=0 MSS=1460 SACK_PERM=1 TSval=29578221 TSecr=0 WS=16"
