"No.","Time","Source","Destination","Protocol","Length","Info"
"48","2016-09-23 23:00:10.663863","192.168.1.196","52.1.40.122","TCP","60","[TCP segment of a reassembled PDU]"
"87","2016-09-23 23:00:15.869248","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"108","2016-09-23 23:00:19.192690","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"113","2016-09-23 23:00:19.399535","192.168.1.196","52.1.40.122","TCP","60","3063  >  443 [ACK] Seq=71 Ack=70 Win=3072 Len=0"
"165","2016-09-23 23:00:29.383997","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"199","2016-09-23 23:00:39.573505","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"220","2016-09-23 23:00:44.251599","192.168.1.196","52.1.40.122","TLSv1.2","123","Application Data"
"223","2016-09-23 23:00:44.458453","192.168.1.196","52.1.40.122","TCP","60","3063  >  443 [ACK] Seq=140 Ack=139 Win=3072 Len=0"
"260","2016-09-23 23:00:54.443183","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=1"
"323","2016-09-23 23:01:04.633063","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=1"
"347","2016-09-23 23:01:09.839263","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"373","2016-09-23 23:01:14.822740","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=1"
"410","2016-09-23 23:01:25.012478","192.168.1.196","52.1.40.122","TCP","60","[TCP Keep-Alive] 3063  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=1"
