"No.","Time","Source","Destination","Protocol","Length","Info"
"11","2016-09-24 23:00:04.773812","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"26","2016-09-24 23:00:09.214060","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=1 Ack=42 Win=1734 Len=0"
"27","2016-09-24 23:00:09.214620","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"96","2016-09-24 23:00:22.483434","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"122","2016-09-24 23:00:31.799618","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"133","2016-09-24 23:00:36.811028","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"141","2016-09-24 23:00:39.243631","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"144","2016-09-24 23:00:39.490682","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=83 Ack=83 Win=1734 Len=0"
"168","2016-09-24 23:00:43.951779","192.168.1.240","107.170.224.8","NTP","90","NTP Version 4, client"
"171","2016-09-24 23:00:44.455693","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"206","2016-09-24 23:00:49.510338","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"398","2016-09-24 23:00:58.823973","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"425","2016-09-24 23:01:02.134248","192.168.1.240","198.38.16.1","NTP","90","NTP Version 4, client"
"434","2016-09-24 23:01:03.826353","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"455","2016-09-24 23:01:09.478643","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"458","2016-09-24 23:01:09.674338","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=124 Ack=124 Win=1734 Len=0"
"459","2016-09-24 23:01:09.674869","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"466","2016-09-24 23:01:09.923971","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=165 Ack=165 Win=1734 Len=0"
"489","2016-09-24 23:01:16.532755","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"540","2016-09-24 23:01:25.852360","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"594","2016-09-24 23:01:39.912667","192.168.1.240","54.239.29.231","TLSv1.2","95","Application Data"
"599","2016-09-24 23:01:40.131203","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=206 Ack=206 Win=1734 Len=0"
"622","2016-09-24 23:01:43.559615","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"631","2016-09-24 23:01:45.134607","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"678","2016-09-24 23:01:52.876707","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"758","2016-09-24 23:02:09.220975","192.168.1.240","54.239.29.231","TCP","54","60880  >  443 [ACK] Seq=206 Ack=247 Win=1734 Len=0"
