"No.","Time","Source","Destination","Protocol","Length","Info"
"3","2016-09-28 23:00:02.089164","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","Who has 192.168.1.1? Tell 192.168.1.240"
"72","2016-09-28 23:00:13.034735","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"107","2016-09-28 23:00:18.159856","192.168.1.240","138.236.128.36","NTP","90","NTP Version 4, client"
"114","2016-09-28 23:00:21.019363","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"149","2016-09-28 23:00:27.070857","192.168.1.240","176.32.98.204","TLSv1.2","95","Application Data"
"152","2016-09-28 23:00:27.273536","192.168.1.240","176.32.98.204","TCP","54","54688  >  443 [ACK] Seq=42 Ack=42 Win=1734 Len=0"
"153","2016-09-28 23:00:27.273650","192.168.1.240","176.32.98.204","TLSv1.2","95","Application Data"
"158","2016-09-28 23:00:27.522622","192.168.1.240","176.32.98.204","TCP","54","54688  >  443 [ACK] Seq=83 Ack=83 Win=1734 Len=0"
"195","2016-09-28 23:00:40.061926","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"240","2016-09-28 23:00:48.045175","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"277","2016-09-28 23:00:57.515271","192.168.1.240","176.32.98.204","TLSv1.2","95","Application Data"
"280","2016-09-28 23:00:57.734363","192.168.1.240","176.32.98.204","TCP","54","54688  >  443 [ACK] Seq=124 Ack=124 Win=1734 Len=0"
"317","2016-09-28 23:01:02.737586","AmazonTe_56:cc:d3","Tp-LinkT_51:33:ea","ARP","42","192.168.1.240 is at 44:65:0d:56:cc:d3"
"347","2016-09-28 23:01:07.088604","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"387","2016-09-28 23:01:15.070885","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"441","2016-09-28 23:01:26.812515","192.168.1.240","176.32.98.204","TCP","54","54688  >  443 [ACK] Seq=124 Ack=165 Win=1734 Len=0"
"442","2016-09-28 23:01:26.812635","192.168.1.240","176.32.98.204","TLSv1.2","95","Application Data"
"495","2016-09-28 23:01:34.122453","192.168.1.240","23.23.189.20","UDP","201","49280  >  33434 Len=159"
"555","2016-09-28 23:01:42.096993","192.168.1.240","23.23.189.20","UDP","191","47532  >  33434 Len=149"
"659","2016-09-28 23:01:56.842540","192.168.1.240","176.32.98.204","TLSv1.2","95","Application Data"
