"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.3","192.168.2.1","ICMP","98","Echo (ping) request  id=0x0592, seq=1/256, ttl=64 (reply in 2)"
"5","0.247408","192.168.2.3","216.58.197.14","TCP","66","42654  >  443 [FIN, ACK] Seq=1 Ack=57 Win=1048 Len=0 TSval=49140243 TSecr=2076118751"
"7","0.302111","192.168.2.3","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"8","0.302113","192.168.2.3","224.0.0.251","MDNS","413","Standard query response 0x0000 PTR Google-Home-d8ff63fb78680c8a1c8ccacd5fd7f560._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 d8ff63fb-7868-0c8a-1c8c-cacd5fd7f560.local A, cache flush 192.168.2.3"
"9","0.350571","192.168.2.3","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"10","0.352048","192.168.2.3","224.0.0.251","MDNS","268","Standard query response 0x0000 PTR d8ff63fb-7868-0c8a-1c8c-cacd5fd7f560._googlezone._tcp.local TXT, cache flush SRV, cache flush 210 61 10001 d8ff63fb-7868-0c8a-1c8c-cacd5fd7f560.local A, cache flush 192.168.2.3"
"11","0.545353","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"16","0.557540","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=722 Ack=2897 Win=999 Len=0 TSval=49140274 TSecr=146901072"
"17","0.557916","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=722 Ack=5199 Win=999 Len=0 TSval=49140274 TSecr=146901072"
"18","1.020703","192.168.2.3","192.168.2.1","ICMP","98","Echo (ping) request  id=0x0592, seq=2/512, ttl=64 (reply in 19)"
"20","1.044834","192.168.2.3","8.8.8.8","ICMP","98","Echo (ping) request  id=0x0598, seq=1/256, ttl=64 (reply in 21)"
"22","2.050403","192.168.2.3","8.8.8.8","ICMP","98","Echo (ping) request  id=0x0598, seq=2/512, ttl=64 (reply in 23)"
"24","2.058880","192.168.2.3","8.8.8.8","DNS","74","Standard query 0xd1e7 A www.google.com"
"25","2.058882","192.168.2.3","8.8.8.8","DNS","74","Standard query 0xae7e AAAA www.google.com"
"28","4.618045","192.168.2.3","216.58.197.14","UDP","65","34803  >  443 Len=23"
"30","6.606400","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"35","6.625006","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=1443 Ack=8095 Win=999 Len=0 TSval=49140881 TSecr=146907138"
"36","6.625008","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=1443 Ack=10397 Win=999 Len=0 TSval=49140881 TSecr=146907138"
"37","12.668457","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"42","12.694638","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=2164 Ack=13293 Win=999 Len=0 TSval=49141488 TSecr=146913209"
"43","12.696577","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=2164 Ack=15589 Win=999 Len=0 TSval=49141488 TSecr=146913209"
"44","13.489658","192.168.2.3","35.186.224.53","TCP","66","60218  >  443 [ACK] Seq=1 Ack=1 Win=583 Len=0 TSval=49141568 TSecr=2232963780"
"46","14.289613","192.168.2.3","216.58.197.14","TCP","66","42674  >  443 [ACK] Seq=1 Ack=1 Win=627 Len=0 TSval=49141648 TSecr=1659789530"
"47","14.290004","192.168.2.3","151.101.76.246","TCP","66","60375  >  443 [ACK] Seq=1 Ack=1 Win=1222 Len=0 TSval=49141648 TSecr=522672252"
"50","14.432621","192.168.2.3","203.211.199.120","TCP","66","33970  >  443 [ACK] Seq=1 Ack=1 Win=545 Len=0 TSval=49141662 TSecr=146869948"
"52","15.039578","192.168.2.3","216.58.197.14","TCP","66","42682  >  443 [ACK] Seq=1 Ack=1 Win=583 Len=0 TSval=49141723 TSecr=3089629575"
"54","15.251607","192.168.2.3","151.101.194.217","TCP","66","49703  >  443 [ACK] Seq=1 Ack=1 Win=661 Len=0 TSval=49141744 TSecr=502310652"
"56","15.672143","192.168.2.3","216.58.197.3","TCP","66","49713  >  443 [ACK] Seq=1 Ack=1 Win=793 Len=0 TSval=49141786 TSecr=3928125463"
"58","16.210126","192.168.2.3","216.58.197.14","TCP","66","42663  >  443 [ACK] Seq=1 Ack=1 Win=329 Len=0 TSval=49141840 TSecr=2191724699"
"60","16.691392","192.168.2.3","216.58.199.234","TCP","66","38637  >  443 [ACK] Seq=1 Ack=1 Win=661 Len=0 TSval=49141888 TSecr=2635329886"
"62","16.791733","192.168.2.3","203.211.199.122","TCP","66","46971  >  443 [ACK] Seq=1 Ack=1 Win=455 Len=0 TSval=49141898 TSecr=148162859"
"63","16.791737","192.168.2.3","203.211.199.122","TCP","66","46972  >  443 [ACK] Seq=1 Ack=1 Win=455 Len=0 TSval=49141898 TSecr=148162860"
"66","18.735037","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"71","18.765474","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=2885 Ack=18485 Win=999 Len=0 TSval=49142095 TSecr=146919272"
"72","18.765878","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=2885 Ack=20787 Win=999 Len=0 TSval=49142095 TSecr=146919272"
"73","23.183826","192.168.2.3","216.58.197.14","TLSv1.2","159","Application Data"
"74","23.183829","192.168.2.3","216.58.197.14","TLSv1.2","104","Application Data"
"75","23.183829","192.168.2.3","216.58.197.14","TLSv1.2","366","Application Data"
"80","23.229896","192.168.2.3","216.58.197.14","TCP","66","42670  >  443 [ACK] Seq=432 Ack=39 Win=661 Len=0 TSval=49142542 TSecr=4183046972"
"85","23.269104","192.168.2.3","216.58.197.14","TCP","66","42670  >  443 [ACK] Seq=432 Ack=108 Win=661 Len=0 TSval=49142545 TSecr=4183047051"
"86","23.269106","192.168.2.3","216.58.197.14","TCP","66","42670  >  443 [ACK] Seq=432 Ack=396 Win=661 Len=0 TSval=49142546 TSecr=4183047051"
"87","23.269498","192.168.2.3","216.58.197.14","TCP","66","42670  >  443 [ACK] Seq=432 Ack=643 Win=661 Len=0 TSval=49142546 TSecr=4183047051"
"88","23.269717","192.168.2.3","216.58.197.14","TCP","66","42670  >  443 [ACK] Seq=432 Ack=681 Win=661 Len=0 TSval=49142546 TSecr=4183047051"
"89","23.274168","192.168.2.3","216.58.197.14","TLSv1.2","104","Application Data"
"91","24.819936","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"96","24.841004","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=3606 Ack=23683 Win=999 Len=0 TSval=49142703 TSecr=146925353"
"97","24.841382","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=3606 Ack=25985 Win=999 Len=0 TSval=49142703 TSecr=146925354"
"100","27.889399","192.168.2.3","108.177.97.188","TCP","66","42999  >  5228 [ACK] Seq=1 Ack=1 Win=661 Len=0 TSval=49143008 TSecr=532789161"
"104","27.966204","192.168.2.3","35.186.224.53","TCP","66","[TCP Previous segment not captured] 60218  >  443 [FIN, ACK] Seq=2 Ack=57 Win=583 Len=0 TSval=49143015 TSecr=2233023370"
"109","30.718044","192.168.2.3","216.58.197.14","TCP","66","[TCP Previous segment not captured] 42663  >  443 [FIN, ACK] Seq=2 Ack=57 Win=329 Len=0 TSval=49143290 TSecr=2191784323"
"111","30.897304","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"116","30.952576","192.168.2.3","216.58.197.14","TCP","66","[TCP Retransmission] 42663  >  443 [FIN, ACK] Seq=2 Ack=57 Win=329 Len=0 TSval=49143312 TSecr=2191784323"
"117","30.952577","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=4327 Ack=30329 Win=999 Len=0 TSval=49143312 TSecr=146931435"
"119","30.978881","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=4327 Ack=31182 Win=999 Len=0 TSval=49143317 TSecr=146931435"
"122","31.155774","192.168.2.3","216.58.199.234","TCP","66","[TCP Previous segment not captured] 38637  >  443 [FIN, ACK] Seq=2 Ack=57 Win=661 Len=0 TSval=49143334 TSecr=2635389463"
"124","32.534116","192.168.2.3","108.177.97.188","TCP","66","43011  >  5228 [ACK] Seq=1 Ack=1 Win=450 Len=0 TSval=49143472 TSecr=783633547"
"126","32.874370","192.168.2.3","8.8.8.8","DNS","75","Standard query 0xcd0c A play.google.com"
"128","32.920713","192.168.2.3","216.58.197.14","GQUIC","1392","Client Hello, PKN: 1, CID: 1933795123221563294"
"132","32.982896","192.168.2.3","216.58.197.14","GQUIC","1392","Client Hello, PKN: 2, CID: 1933795123221563294"
"136","33.044484","192.168.2.3","216.58.197.14","GQUIC","81","Payload (Encrypted), PKN: 3, CID: 1933795123221563294"
"137","33.044485","192.168.2.3","216.58.197.14","GQUIC","72","Payload (Encrypted), PKN: 4, CID: 1933795123221563294"
"138","33.044486","192.168.2.3","216.58.197.14","GQUIC","1036","Payload (Encrypted), PKN: 5, CID: 1933795123221563294"
"144","33.099165","192.168.2.3","216.58.197.14","GQUIC","72","Payload (Encrypted), PKN: 6, CID: 1933795123221563294"
"145","33.100853","192.168.2.3","216.58.197.14","GQUIC","72","Payload (Encrypted), PKN: 7, CID: 1933795123221563294"
"149","34.429512","192.168.2.3","203.211.199.120","TCP","66","[TCP Previous segment not captured] 33970  >  443 [ACK] Seq=2 Ack=24 Win=545 Len=0 TSval=49143662 TSecr=146934948"
"150","34.469403","192.168.2.3","203.211.199.120","TCP","66","33970  >  443 [ACK] Seq=2 Ack=25 Win=545 Len=0 TSval=49143666 TSecr=146934948"
"151","36.370524","192.168.2.3","216.58.197.4","TCP","66","53439  >  443 [ACK] Seq=1 Ack=1 Win=862 Len=0 TSval=49143856 TSecr=1294946583"
"155","36.790524","192.168.2.3","203.211.199.122","TCP","66","[TCP Previous segment not captured] 46972  >  443 [ACK] Seq=2 Ack=24 Win=455 Len=0 TSval=49143898 TSecr=148227860"
"156","36.791777","192.168.2.3","203.211.199.122","TCP","66","[TCP Previous segment not captured] 46971  >  443 [ACK] Seq=2 Ack=24 Win=455 Len=0 TSval=49143898 TSecr=148227860"
"159","36.829121","192.168.2.3","203.211.199.122","TCP","66","46971  >  443 [ACK] Seq=2 Ack=25 Win=455 Len=0 TSval=49143902 TSecr=148227860"
"160","36.839800","192.168.2.3","203.211.199.122","TCP","66","46972  >  443 [ACK] Seq=2 Ack=25 Win=455 Len=0 TSval=49143903 TSecr=148227860"
"161","36.982958","192.168.2.3","203.211.199.122","TCP","66","46971  >  443 [RST, ACK] Seq=2 Ack=25 Win=455 Len=0 TSval=49143917 TSecr=148227860"
"162","36.982961","192.168.2.3","203.211.199.122","TCP","66","46972  >  443 [RST, ACK] Seq=2 Ack=25 Win=455 Len=0 TSval=49143917 TSecr=148227860"
"163","36.982962","192.168.2.3","203.211.199.120","TCP","66","33970  >  443 [RST, ACK] Seq=2 Ack=25 Win=545 Len=0 TSval=49143917 TSecr=146934948"
"164","36.984036","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"169","37.011046","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5048 Ack=32630 Win=982 Len=0 TSval=49143919 TSecr=146937519"
"170","37.011047","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5048 Ack=34078 Win=982 Len=0 TSval=49143919 TSecr=146937519"
"171","37.011486","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5048 Ack=35526 Win=982 Len=0 TSval=49143920 TSecr=146937519"
"172","37.011776","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5048 Ack=36373 Win=998 Len=0 TSval=49143920 TSecr=146937519"
"174","43.046378","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"179","43.063834","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5769 Ack=37821 Win=982 Len=0 TSval=49144525 TSecr=146943579"
"180","43.063836","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5769 Ack=39269 Win=982 Len=0 TSval=49144525 TSecr=146943579"
"181","43.064211","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5769 Ack=40717 Win=982 Len=0 TSval=49144525 TSecr=146943579"
"182","43.064213","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=5769 Ack=41564 Win=982 Len=0 TSval=49144525 TSecr=146943579"
"183","48.050443","192.168.2.3","216.58.197.14","GQUIC","65","Payload (Encrypted), PKN: 8, CID: 1933795123221563294"
"185","49.097555","192.168.2.3","203.211.199.120","TLSv1.2","787","Application Data"
"190","49.125432","192.168.2.3","203.211.199.120","TCP","66","33965  >  443 [ACK] Seq=6490 Ack=43012 Win=982 Len=0 TSval=49145131 TSecr=146949635"
