"No.","average","variance","class"
0,107,3809.769230769231,label
1,90,1819.1923076923076,label
2,129,33439.361445783135,label
3,124,4338.0,label
4,110,3231.5,label
5,130,9926.243243243243,label
6,121,3609.3125,label
7,123,37616.92537313433,label
8,133,6796.384615384615,label
9,129,3210.4,label
10,126,3458.2,label
11,121,4013.2,label
12,112,3866.5,label
13,104,4541.166666666667,label
14,85,1424.92,label
15,126,3458.2,label
16,130,4758.0,label
17,117,3152.4444444444443,label
18,126,3458.2,label
19,135,3913.25,label
20,109,3374.285714285714,label
21,135,3913.25,label
22,112,3866.5,label
23,87,1480.2391304347825,label
24,125,3491.75,label
25,146,3628.0,label
26,135,3913.25,label
27,126,3458.2,label
28,135,3913.25,label
29,126,3458.2,label
30,135,3913.25,label
31,229,114627.1052631579,label
32,91,1784.72,label
33,126,3458.2,label
34,135,3913.25,label
35,126,3458.2,label
36,120,3063.8333333333335,label
37,135,3913.25,label
38,160,2514.0,label
39,111,3135.8571428571427,label
40,126,3458.2,label
41,86,1415.1224489795918,label
42,128,3339.5,label
43,135,3913.25,label
44,135,3913.25,label
45,135,3913.25,label
46,133,4223.875,label
47,127,3964.8571428571427,label
48,88,1665.1875,label
49,121,4013.2,label
50,135,3913.25,label
51,135,3913.25,label
52,112,3866.5,label
53,131,3426.714285714286,label
54,195,91531.76,label
55,84,1026.9574468085107,label
56,120,3063.8333333333335,label
57,131,2959.2,label
58,108,2794.5,label
59,126,3458.2,label
60,126,3458.2,label
61,112,3866.5,label
62,146,3471.5714285714284,label
63,120,3063.8333333333335,label
64,86,1442.9166666666667,label
65,135,3913.25,label
66,112,3866.5,label
67,135,3913.25,label
68,104,4541.166666666667,label
69,135,3913.25,label
70,146,3395.1428571428573,label
71,115,3569.0,label
72,113,3833.0,label
73,86,1442.9166666666667,label
74,130,3210.4,label
75,126,3458.2,label
76,135,3913.25,label
77,126,3458.2,label
78,135,3913.25,label
79,126,3458.2,label
80,135,3913.25,label
81,209,101680.90909090909,label
82,82,983.8409090909091,label
83,141,2960.5555555555557,label
84,126,3458.2,label
85,111,3135.8571428571427,label
86,137,3563.3333333333335,label
87,146,3471.5714285714284,label
88,119,3324.0,label
89,84,1190.9787234042553,label
